Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,Line,23.099,-39.685,16.685,23.099,-42.054,19.054,NA,NA,NA
2,Line,23.099,-39.685,16.685,26.0,-38.501,15.501,NA,NA,NA
3,Line,26.0,-38.501,15.501,28.901,-39.685,16.685,NA,NA,NA
4,Line,28.901,-39.685,16.685,28.901,-42.054,19.054,NA,NA,NA
5,Line,26.373,-43.086,20.086,28.901,-42.054,19.054,NA,NA,NA
6,Line,23.099,-42.054,19.054,25.627,-43.086,20.086,NA,NA,NA
7,Line,25.627,-43.086,20.086,26.0,-43.238,20.238,NA,NA,NA
8,Line,26.373,-43.086,20.086,26.0,-43.238,20.238,NA,NA,NA
9,3_point_circle_1,24.3,-40.869,17.869,26.85,-41.91,18.91,26.85,-39.828,16.828
