Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,Line,50.0,-34.401,11.325,50.0,-34.401,20.0,NA,NA,NA
2,Line,50.0,-34.401,20.0,50.0,-28.599,20.0,NA,NA,NA
3,Line,50.0,-28.599,11.325,50.0,-28.599,20.0,NA,NA,NA
4,Line,50.0,-31.5,9.65,50.0,-28.599,11.325,NA,NA,NA
5,Line,50.0,-34.401,11.325,50.0,-31.5,9.65,NA,NA,NA
