Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,Line,8.099,-1.675,11.0,11.0,-3.35,11.0,NA,NA,NA
2,Line,8.099,-1.675,11.0,8.099,1.675,11.0,NA,NA,NA
3,Line,8.099,1.675,11.0,11.0,3.35,11.0,NA,NA,NA
4,Line,11.0,3.35,11.0,11.621,2.991,11.0,NA,NA,NA
5,Line,11.621,2.991,11.0,12.717,2.359,11.0,NA,NA,NA
6,Line,12.717,2.359,11.0,13.901,1.675,11.0,NA,NA,NA
7,Line,13.901,1.115,11.0,13.901,1.675,11.0,NA,NA,NA
8,Line,13.901,0.557,11.0,13.901,1.115,11.0,NA,NA,NA
9,Line,13.901,0.0,11.0,13.901,0.557,11.0,NA,NA,NA
10,Line,13.901,-0.557,11.0,13.901,0.0,11.0,NA,NA,NA
11,Line,13.901,-1.115,11.0,13.901,-0.557,11.0,NA,NA,NA
12,Line,13.901,-1.675,11.0,13.901,-1.115,11.0,NA,NA,NA
13,Line,12.717,-2.359,11.0,13.901,-1.675,11.0,NA,NA,NA
14,Line,11.621,-2.991,11.0,12.717,-2.359,11.0,NA,NA,NA
15,Line,11.0,-3.35,11.0,11.621,-2.991,11.0,NA,NA,NA
16,Line,-11.0,-3.35,11.0,-8.099,-1.675,11.0,NA,NA,NA
17,Line,-8.099,-1.675,11.0,-8.099,1.675,11.0,NA,NA,NA
18,Line,-11.0,3.35,11.0,-8.099,1.675,11.0,NA,NA,NA
19,Line,-13.901,1.675,11.0,-11.0,3.35,11.0,NA,NA,NA
20,Line,-13.901,-1.675,11.0,-13.901,1.675,11.0,NA,NA,NA
21,Line,-11.0,-3.35,11.0,-13.901,-1.675,11.0,NA,NA,NA
