Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,3_point_circle_1,4.2,214.5,-1.0,-2.1,218.137,-1.0,-2.1,210.863,-1.0
2,3_point_circle_2,4.2,80.0,-1.0,-2.1,83.637,-1.0,-2.1,76.363,-1.0
3,3_point_circle_3,31.45,73.5,-1.0,27.025,76.055,-1.0,27.025,70.945,-1.0
4,3_point_circle_4,30.2,73.5,-1.0,27.65,74.972,-1.0,27.65,72.028,-1.0
5,3_point_circle_5,31.45,86.5,-1.0,27.025,89.055,-1.0,27.025,83.945,-1.0
6,3_point_circle_6,30.2,86.5,-1.0,27.65,87.972,-1.0,27.65,85.028,-1.0
7,3_point_circle_7,-25.55,73.5,-1.0,-29.975,76.055,-1.0,-29.975,70.945,-1.0
8,3_point_circle_8,-26.8,73.5,-1.0,-29.35,74.972,-1.0,-29.35,72.028,-1.0
9,3_point_circle_9,-25.55,86.5,-1.0,-29.975,89.055,-1.0,-29.975,83.945,-1.0
10,3_point_circle_10,-26.8,86.5,-1.0,-29.35,87.972,-1.0,-29.35,85.028,-1.0
