Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,Line,22.5,-67.904,5.0,22.5,-66.293,5.0,NA,NA,NA
2,Line,22.0,-67.904,5.0,22.5,-67.904,5.0,NA,NA,NA
3,Line,17.0,-67.904,5.0,22.0,-67.904,5.0,NA,NA,NA
4,Line,17.0,-67.904,5.0,18.26,-67.576,5.0,NA,NA,NA
5,Line,18.26,-67.576,5.0,19.513,-67.225,5.0,NA,NA,NA
6,Line,19.513,-67.225,5.0,20.76,-66.851,5.0,NA,NA,NA
7,Line,20.76,-66.851,5.0,22.0,-66.453,5.0,NA,NA,NA
8,Line,22.0,-66.453,5.0,22.5,-66.293,5.0,NA,NA,NA
