Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,Line,25.0,83.0,27.0,32.534,83.0,19.466,NA,NA,NA
2,Line,32.534,83.0,19.466,33.534,83.0,18.466,NA,NA,NA
3,Line,33.534,83.0,27.0,33.534,83.0,18.466,NA,NA,NA
4,Line,32.534,83.0,27.0,33.534,83.0,27.0,NA,NA,NA
5,Line,25.0,83.0,27.0,32.534,83.0,27.0,NA,NA,NA
6,Line,-32.534,83.0,27.0,-25.0,83.0,27.0,NA,NA,NA
7,Line,-32.534,83.0,27.0,-33.534,83.0,27.0,NA,NA,NA
8,Line,-33.534,83.0,27.0,-33.534,83.0,18.466,NA,NA,NA
9,Line,-32.534,83.0,19.466,-33.534,83.0,18.466,NA,NA,NA
10,Line,-32.534,83.0,19.466,-25.0,83.0,27.0,NA,NA,NA
