Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,Line,0.751,61.996,13.0,0.368,62.919,13.0,NA,NA,NA
2,Line,0.751,61.996,13.0,1.196,60.926,13.0,NA,NA,NA
3,Line,1.196,60.926,13.0,1.549,59.945,13.0,NA,NA,NA
4,Line,1.549,59.945,13.0,1.825,59.047,13.0,NA,NA,NA
5,Line,1.825,59.047,13.0,2.012,58.311,13.0,NA,NA,NA
6,Line,2.012,58.311,13.0,2.103,57.886,13.0,NA,NA,NA
7,Line,2.103,57.886,13.0,2.18,57.459,13.0,NA,NA,NA
8,Line,2.18,57.459,13.0,3.775,57.376,13.0,NA,NA,NA
9,Line,3.775,57.376,13.0,3.958,57.993,13.0,NA,NA,NA
10,Line,3.958,57.993,13.0,4.17,58.601,13.0,NA,NA,NA
11,Line,4.17,58.601,13.0,4.406,59.2,13.0,NA,NA,NA
12,Line,4.406,59.2,13.0,4.662,59.791,13.0,NA,NA,NA
13,Line,4.662,59.791,13.0,4.937,60.373,13.0,NA,NA,NA
14,Line,4.937,60.373,13.0,5.229,60.947,13.0,NA,NA,NA
15,Line,5.229,60.947,13.0,5.443,61.346,13.0,NA,NA,NA
16,Line,5.443,61.346,13.0,5.665,61.741,13.0,NA,NA,NA
17,Line,5.665,61.741,13.0,6.154,62.613,13.0,NA,NA,NA
18,Line,6.154,62.613,13.0,0.368,62.919,13.0,NA,NA,NA
