Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,Line,-2.901,206.675,10.0,-0.0,208.35,10.0,NA,NA,NA
2,Line,-2.901,201.0,10.0,-2.901,206.675,10.0,NA,NA,NA
3,Line,-2.901,201.0,10.0,-2.901,200.5,10.0,NA,NA,NA
4,Line,2.901,200.5,10.0,-2.901,200.5,10.0,NA,NA,NA
5,Line,2.901,201.0,10.0,2.901,200.5,10.0,NA,NA,NA
6,Line,2.901,201.0,10.0,2.901,206.675,10.0,NA,NA,NA
7,Line,-0.0,208.35,10.0,2.901,206.675,10.0,NA,NA,NA
8,Line,2.901,200.5,10.0,-2.901,200.5,10.0,NA,NA,NA
9,Line,2.901,201.0,10.0,2.901,200.5,10.0,NA,NA,NA
10,Line,2.901,201.0,10.0,2.901,206.675,10.0,NA,NA,NA
11,Line,-0.0,208.35,10.0,2.901,206.675,10.0,NA,NA,NA
12,Line,-2.901,206.675,10.0,-0.0,208.35,10.0,NA,NA,NA
13,Line,-2.901,201.0,10.0,-2.901,206.675,10.0,NA,NA,NA
14,Line,-2.901,201.0,10.0,-2.901,200.5,10.0,NA,NA,NA
