Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,Line,-9.0,106.25,5.0,-9.0,106.418,4.8,NA,NA,NA
2,Line,-9.0,108.7,4.8,-9.0,106.418,4.8,NA,NA,NA
3,Line,-9.0,108.7,5.0,-9.0,108.7,4.8,NA,NA,NA
4,Line,-9.0,108.7,5.0,-9.0,108.7,8.039,NA,NA,NA
5,Line,-9.0,103.7,8.039,-9.0,108.7,8.039,NA,NA,NA
6,Line,-9.0,103.7,8.039,-9.0,106.25,5.0,NA,NA,NA
7,Line,-9.0,93.45,5.0,-9.0,93.282,4.8,NA,NA,NA
8,Line,-9.0,93.45,5.0,-9.0,96.0,8.039,NA,NA,NA
9,Line,-9.0,91.0,8.039,-9.0,96.0,8.039,NA,NA,NA
10,Line,-9.0,91.0,5.0,-9.0,91.0,8.039,NA,NA,NA
11,Line,-9.0,91.0,5.0,-9.0,91.0,4.8,NA,NA,NA
12,Line,-9.0,91.0,4.8,-9.0,93.282,4.8,NA,NA,NA
